book;chapter;verse
Gênesis;1;31
Gênesis;2;25
Gênesis;3;24
Gênesis;4;26
Gênesis;5;32
Gênesis;6;22
Gênesis;7;24
Gênesis;8;22
Gênesis;9;29
Gênesis;10;32
Gênesis;11;32
Gênesis;12;20
Gênesis;13;18
Gênesis;14;24
Gênesis;15;21
Gênesis;16;16
Gênesis;17;27
Gênesis;18;33
Gênesis;19;38
Gênesis;20;18
Gênesis;21;34
Gênesis;22;24
Gênesis;23;20
Gênesis;24;67
Gênesis;25;34
Gênesis;26;35
Gênesis;27;46
Gênesis;28;22
Gênesis;29;35
Gênesis;30;43
Gênesis;31;55
Gênesis;32;32
Gênesis;33;20
Gênesis;34;31
Gênesis;35;29
Gênesis;36;43
Gênesis;37;36
Gênesis;38;30
Gênesis;39;23
Gênesis;40;23
Gênesis;41;57
Gênesis;42;38
Gênesis;43;34
Gênesis;44;34
Gênesis;45;28
Gênesis;46;34
Gênesis;47;31
Gênesis;48;22
Gênesis;49;33
Gênesis;50;26
Êxodo;1;22
Êxodo;2;25
Êxodo;3;22
Êxodo;4;31
Êxodo;5;23
Êxodo;6;30
Êxodo;7;25
Êxodo;8;32
Êxodo;9;35
Êxodo;10;29
Êxodo;11;10
Êxodo;12;51
Êxodo;13;22
Êxodo;14;31
Êxodo;15;27
Êxodo;16;36
Êxodo;17;16
Êxodo;18;27
Êxodo;19;25
Êxodo;20;26
Êxodo;21;36
Êxodo;22;31
Êxodo;23;33
Êxodo;24;18
Êxodo;25;40
Êxodo;26;37
Êxodo;27;21
Êxodo;28;43
Êxodo;29;46
Êxodo;30;38
Êxodo;31;18
Êxodo;32;35
Êxodo;33;23
Êxodo;34;35
Êxodo;35;35
Êxodo;36;38
Êxodo;37;29
Êxodo;38;31
Êxodo;39;43
Êxodo;40;38
Levítico;1;17
Levítico;2;16
Levítico;3;17
Levítico;4;35
Levítico;5;19
Levítico;6;30
Levítico;7;38
Levítico;8;36
Levítico;9;24
Levítico;10;20
Levítico;11;47
Levítico;12;8
Levítico;13;59
Levítico;14;57
Levítico;15;33
Levítico;16;34
Levítico;17;16
Levítico;18;30
Levítico;19;37
Levítico;20;27
Levítico;21;24
Levítico;22;33
Levítico;23;44
Levítico;24;23
Levítico;25;55
Levítico;26;46
Levítico;27;34
Números;1;54
Números;2;34
Números;3;51
Números;4;49
Números;5;31
Números;6;27
Números;7;89
Números;8;26
Números;9;23
Números;10;36
Números;11;35
Números;12;16
Números;13;33
Números;14;45
Números;15;41
Números;16;50
Números;17;13
Números;18;32
Números;19;22
Números;20;29
Números;21;35
Números;22;41
Números;23;30
Números;24;25
Números;25;18
Números;26;65
Números;27;23
Números;28;31
Números;29;40
Números;30;16
Números;31;54
Números;32;42
Números;33;56
Números;34;29
Números;35;34
Números;36;13
Deuteronômio;1;46
Deuteronômio;2;37
Deuteronômio;3;29
Deuteronômio;4;49
Deuteronômio;5;33
Deuteronômio;6;25
Deuteronômio;7;26
Deuteronômio;8;20
Deuteronômio;9;29
Deuteronômio;10;22
Deuteronômio;11;32
Deuteronômio;12;32
Deuteronômio;13;18
Deuteronômio;14;29
Deuteronômio;15;23
Deuteronômio;16;22
Deuteronômio;17;20
Deuteronômio;18;22
Deuteronômio;19;21
Deuteronômio;20;20
Deuteronômio;21;23
Deuteronômio;22;30
Deuteronômio;23;25
Deuteronômio;24;22
Deuteronômio;25;19
Deuteronômio;26;19
Deuteronômio;27;26
Deuteronômio;28;69
Deuteronômio;29;29
Deuteronômio;30;20
Deuteronômio;31;29
Deuteronômio;32;52
Deuteronômio;33;29
Deuteronômio;34;12
Josué;1;18
Josué;2;24
Josué;3;17
Josué;4;24
Josué;5;15
Josué;6;27
Josué;7;26
Josué;8;35
Josué;9;27
Josué;10;43
Josué;11;23
Josué;12;24
Josué;13;33
Josué;14;15
Josué;15;63
Josué;16;10
Josué;17;18
Josué;18;28
Josué;19;51
Josué;20;9
Josué;21;45
Josué;22;34
Josué;23;16
Josué;24;33
Juízes;1;36
Juízes;2;23
Juízes;3;31
Juízes;4;24
Juízes;5;31
Juízes;6;40
Juízes;7;25
Juízes;8;35
Juízes;9;57
Juízes;10;18
Juízes;11;40
Juízes;12;15
Juízes;13;25
Juízes;14;20
Juízes;15;20
Juízes;16;31
Juízes;17;13
Juízes;18;31
Juízes;19;30
Juízes;20;48
Juízes;21;25
Rute;1;22
Rute;2;23
Rute;3;18
Rute;4;22
1 Samuel;1;28
1 Samuel;2;36
1 Samuel;3;21
1 Samuel;4;22
1 Samuel;5;12
1 Samuel;6;21
1 Samuel;7;17
1 Samuel;8;22
1 Samuel;9;27
1 Samuel;10;27
1 Samuel;11;15
1 Samuel;12;25
1 Samuel;13;23
1 Samuel;14;52
1 Samuel;15;35
1 Samuel;16;23
1 Samuel;17;58
1 Samuel;18;30
1 Samuel;19;24
1 Samuel;20;42
1 Samuel;21;15
1 Samuel;22;23
1 Samuel;23;29
1 Samuel;24;22
1 Samuel;25;44
1 Samuel;26;25
1 Samuel;27;12
1 Samuel;28;25
1 Samuel;29;11
1 Samuel;30;31
1 Samuel;31;13
2 Samuel;1;27
2 Samuel;2;32
2 Samuel;3;39
2 Samuel;4;12
2 Samuel;5;25
2 Samuel;6;23
2 Samuel;7;29
2 Samuel;8;18
2 Samuel;9;13
2 Samuel;10;19
2 Samuel;11;27
2 Samuel;12;31
2 Samuel;13;39
2 Samuel;14;33
2 Samuel;15;37
2 Samuel;16;23
2 Samuel;17;29
2 Samuel;18;33
2 Samuel;19;43
2 Samuel;20;26
2 Samuel;21;22
2 Samuel;22;51
2 Samuel;23;39
2 Samuel;24;25
1 Reis;1;53
1 Reis;2;46
1 Reis;3;28
1 Reis;4;34
1 Reis;5;18
1 Reis;6;38
1 Reis;7;51
1 Reis;8;66
1 Reis;9;28
1 Reis;10;29
1 Reis;11;43
