Livro;Capitulo;Total_de_Versiculos
Gênesis;1;31
Gênesis;2;25
Gênesis;3;24
Gênesis;4;26
Gênesis;5;32
Gênesis;6;22
Gênesis;7;24
Gênesis;8;22
Gênesis;9;29
Gênesis;10;32
Gênesis;11;32
Gênesis;12;20
Gênesis;13;18
Gênesis;14;24
Gênesis;15;21
Gênesis;16;16
Gênesis;17;27
Gênesis;18;33
Gênesis;19;38
Gênesis;20;18
Gênesis;21;34
Gênesis;22;24
Gênesis;23;20
Gênesis;24;67
Gênesis;25;34
Gênesis;26;35
Gênesis;27;46
Gênesis;28;22
Gênesis;29;35
Gênesis;30;43
Gênesis;31;55
Gênesis;32;32
Gênesis;33;20
Gênesis;34;31
Gênesis;35;29
Gênesis;36;43
Gênesis;37;36
Gênesis;38;30
Gênesis;39;23
Gênesis;40;23
Gênesis;41;57
Gênesis;42;38
Gênesis;43;34
Gênesis;44;34
Gênesis;45;28
Gênesis;46;34
Gênesis;47;31
Gênesis;48;22
Gênesis;49;33
Gênesis;50;26
Êxodo;1;22
Êxodo;2;25
Êxodo;3;22
Êxodo;4;31
Êxodo;5;23
Êxodo;6;30
Êxodo;7;25
Êxodo;8;32
Êxodo;9;35
Êxodo;10;29
Êxodo;11;10
Êxodo;12;51
Êxodo;13;22
Êxodo;14;31
Êxodo;15;27
Êxodo;16;36
Êxodo;17;16
Êxodo;18;27
Êxodo;19;25
Êxodo;20;26
Êxodo;21;36
Êxodo;22;31
Êxodo;23;33
Êxodo;24;18
Êxodo;25;40
Êxodo;26;37
Êxodo;27;21
Êxodo;28;43
Êxodo;29;46
Êxodo;30;38
Êxodo;31;18
Êxodo;32;35
Êxodo;33;23
Êxodo;34;35
Êxodo;35;35
Êxodo;36;38
Êxodo;37;29
Êxodo;38;31
Êxodo;39;43
Êxodo;40;38
Levítico;1;17
Levítico;2;16
Levítico;3;17
Levítico;4;35
Levítico;5;19
Levítico;6;30
Levítico;7;38
Levítico;8;36
Levítico;9;24
Levítico;10;20
Levítico;11;47
Levítico;12;8
Levítico;13;59
Levítico;14;57
Levítico;15;33
Levítico;16;34
Levítico;17;16
Levítico;18;30
Levítico;19;37
Levítico;20;27
Levítico;21;24
Levítico;22;33
Levítico;23;44
Levítico;24;23
Levítico;25;55
Levítico;26;46
Levítico;27;34
Josué;1;18
Josué;2;24
Josué;3;17
Josué;4;24
Josué;5;15
Josué;6;27
Josué;7;26
Josué;8;35
Josué;9;27
Josué;10;43
Josué;11;23
Josué;12;24
Josué;13;33
Josué;14;15
Josué;15;63
Josué;16;10
Josué;17;18
Josué;18;28
Josué;19;51
Josué;20;9
Josué;21;45
Josué;22;34
Josué;23;16
Josué;24;33
Juízes;1;36
Juízes;2;23
Juízes;3;31
Juízes;4;24
Juízes;5;31
Juízes;6;40
Juízes;7;25
Juízes;8;35
Juízes;9;57
Juízes;10;18
Juízes;11;40
Juízes;12;15
Juízes;13;25
Juízes;14;20
Juízes;15;20
Juízes;16;31
Juízes;17;13
Juízes;18;31
Juízes;19;30
Juízes;20;48
Juízes;21;25
Rute;1;22
Rute;2;23
Rute;3;18
Rute;4;22
1 Samuel;1;28
1 Samuel;2;36
1 Samuel;3;21
1 Samuel;4;22
1 Samuel;5;12
1 Samuel;6;21
1 Samuel;7;17
1 Samuel;8;22
1 Samuel;9;27
1 Samuel;10;27
1 Samuel;11;15
1 Samuel;12;25
1 Samuel;13;23
1 Samuel;14;52
1 Samuel;15;35
1 Samuel;16;23
1 Samuel;17;58
1 Samuel;18;30
1 Samuel;19;24
1 Samuel;20;42
1 Samuel;21;15
1 Samuel;22;23
1 Samuel;23;29
1 Samuel;24;22
1 Samuel;25;44
1 Samuel;26;25
1 Samuel;27;12
1 Samuel;28;25
1 Samuel;29;11
1 Samuel;30;31
1 Samuel;31;13
2 Samuel;1;27
2 Samuel;2;32
2 Samuel;3;39
2 Samuel;4;12
2 Samuel;5;25
2 Samuel;6;23
2 Samuel;7;29
2 Samuel;8;18
2 Samuel;9;13
2 Samuel;10;19
2 Samuel;11;27
2 Samuel;12;31
2 Samuel;13;39
2 Samuel;14;33
2 Samuel;15;37
2 Samuel;16;23
2 Samuel;17;29
2 Samuel;18;33
2 Samuel;19;43
2 Samuel;20;26
2 Samuel;21;22
2 Samuel;22;51
2 Samuel;23;39
2 Samuel;24;25
1 Reis;1;53
1 Reis;2;46
1 Reis;3;28
1 Reis;4;34
1 Reis;5;18
1 Reis;6;38
1 Reis;7;51
1 Reis;8;66
1 Reis;9;28
1 Reis;10;29
1 Reis;11;43
1 Reis;12;33
1 Reis;13;34
1 Reis;14;31
1 Reis;15;34
1 Reis;16;34
1 Reis;17;24
1 Reis;18;46
1 Reis;19;21
1 Reis;20;43
1 Reis;21;29
1 Reis;22;53
2 Reis;1;18
2 Reis;2;25
2 Reis;3;27
2 Reis;4;44
2 Reis;5;27
2 Reis;6;33
2 Reis;7;20
2 Reis;8;29
2 Reis;9;37
2 Reis;10;36
2 Reis;11;21
2 Reis;12;21
2 Reis;13;25
2 Reis;14;29
2 Reis;15;38
2 Reis;16;20
2 Reis;17;41
2 Reis;18;37
2 Reis;19;37
2 Reis;20;21
2 Reis;21;26
2 Reis;22;20
2 Reis;23;37
2 Reis;24;20
2 Reis;25;30
1 Crônicas;1;54
1 Crônicas;2;55
1 Crônicas;3;24
1 Crônicas;4;43
1 Crônicas;5;26
1 Crônicas;6;81
1 Crônicas;7;40
1 Crônicas;8;40
1 Crônicas;9;44
1 Crônicas;10;14
1 Crônicas;11;47
1 Crônicas;12;40
1 Crônicas;13;14
1 Crônicas;14;17
1 Crônicas;15;29
1 Crônicas;16;43
1 Crônicas;17;27
1 Crônicas;18;17
1 Crônicas;19;19
1 Crônicas;20;8
1 Crônicas;21;30
1 Crônicas;22;19
1 Crônicas;23;32
1 Crônicas;24;31
